shop_id,user_id,order_amount,total_items,payment_method,created_at
98,745,266,2,credit_card,3/17/17 20:34
5,774,284,2,credit_card,3/26/17 8:16
13,958,480,3,credit_card,3/22/17 13:12
35,997,492,3,debit,3/5/17 1:16
24,949,280,2,cash,3/11/17 1:58
2,983,188,2,credit_card,3/13/17 13:07
49,884,258,2,cash,3/19/17 3:22
18,839,624,4,debit,3/9/17 10:47
77,817,312,2,credit_card,3/5/17 18:46
63,963,544,4,debit,3/25/17 5:52
51,721,561,3,debit,3/14/17 3:54
75,723,256,2,debit,3/28/17 6:01
33,777,346,2,debit,3/13/17 18:46
53,963,224,2,credit_card,3/3/17 2:32
24,894,280,2,credit_card,3/8/17 4:56
86,845,390,3,cash,3/27/17 9:54
58,742,276,2,debit,3/19/17 17:25
15,961,765,5,credit_card,3/26/17 5:06
34,760,122,1,debit,3/30/17 17:31
5,915,426,3,cash,3/28/17 0:09
55,789,513,3,debit,3/29/17 16:36
57,930,441,3,debit,3/15/17 12:36
73,935,165,1,cash,3/26/17 14:23
80,855,145,1,debit,3/11/17 1:13
80,979,290,2,debit,3/30/17 10:41
21,828,284,2,debit,3/18/17 20:13
72,906,640,4,cash,3/30/17 9:55
100,899,111,1,debit,3/5/17 16:49
57,715,294,2,credit_card,3/17/17 7:01
71,985,164,1,credit_card,3/4/17 17:21
100,847,222,2,debit,3/12/17 21:36
47,718,435,3,credit_card,3/6/17 5:24
16,755,156,1,credit_card,3/3/17 23:20
33,808,173,1,cash,3/13/17 22:14
64,942,266,2,cash,3/21/17 7:05
33,872,173,1,debit,3/29/17 14:56
9,986,118,1,cash,3/13/17 11:07
84,734,306,2,credit_card,3/4/17 8:05
88,906,352,2,credit_card,3/24/17 5:44
92,795,90,1,credit_card,3/29/17 3:07
73,725,330,2,debit,3/22/17 18:08
78,990,25725,1,credit_card,3/12/17 5:56
3,877,296,2,debit,3/20/17 17:07
93,913,228,2,cash,3/26/17 23:54
63,915,272,2,debit,3/1/17 6:07
29,941,489,3,cash,3/9/17 16:26
44,921,144,1,credit_card,3/26/17 23:17
14,754,464,4,debit,3/7/17 19:47
56,913,468,4,credit_card,3/11/17 19:37
48,797,351,3,credit_card,3/8/17 6:12
5,970,284,2,debit,3/24/17 0:33
91,828,480,3,credit_card,3/28/17 8:18
57,724,147,1,debit,3/17/17 7:08
55,778,342,2,cash,3/2/17 23:54
7,956,224,2,debit,3/4/17 11:33
49,918,387,3,debit,3/13/17 15:25
50,792,193,1,credit_card,3/20/17 13:51
97,718,648,4,cash,3/16/17 6:33
57,849,441,3,cash,3/20/17 5:20
30,849,153,1,debit,3/25/17 4:09
37,897,142,1,debit,3/2/17 22:40
12,871,201,1,cash,3/2/17 4:37
20,823,127,1,cash,3/3/17 16:29
86,901,260,2,credit_card,3/16/17 17:47
26,920,176,1,cash,3/8/17 0:38
34,944,488,4,debit,3/24/17 5:49
71,888,328,2,debit,3/30/17 5:46
93,749,228,2,credit_card,3/6/17 3:43
41,980,118,1,cash,3/2/17 3:13
17,734,176,1,cash,3/11/17 10:36
43,928,362,2,debit,3/30/17 7:00
7,805,112,1,credit_card,3/22/17 5:28
26,922,352,2,cash,3/17/17 17:51
28,879,328,2,credit_card,3/15/17 14:35
15,942,153,1,cash,3/13/17 14:19
63,946,408,3,cash,3/12/17 0:07
37,745,426,3,credit_card,3/1/17 3:00
85,809,516,3,debit,3/21/17 10:58
19,960,326,2,debit,3/5/17 20:01
27,976,338,2,credit_card,3/24/17 16:25
56,961,117,1,cash,3/8/17 22:18
29,929,163,1,credit_card,3/15/17 11:12
31,967,258,2,credit_card,3/4/17 20:47
67,768,393,3,cash,3/28/17 7:25
36,785,260,2,credit_card,3/22/17 19:20
39,987,268,2,cash,3/19/17 5:09
89,747,588,3,debit,3/4/17 4:01
16,746,156,1,cash,3/9/17 21:53
88,999,176,1,debit,3/8/17 11:30
88,771,176,1,cash,3/10/17 5:17
37,727,284,2,debit,3/20/17 11:06
13,701,160,1,credit_card,3/4/17 8:20
22,712,292,2,credit_card,3/30/17 9:40
88,787,352,2,credit_card,3/13/17 17:28
26,980,352,2,cash,3/10/17 13:59
54,742,399,3,credit_card,3/27/17 3:28
41,793,236,2,cash,3/17/17 1:55
32,862,202,2,debit,3/9/17 16:46
15,960,306,2,credit_card,3/27/17 10:44
75,978,256,2,cash,3/4/17 7:50
23,884,780,5,credit_card,3/3/17 20:11
21,994,142,1,cash,3/3/17 4:18
57,753,147,1,debit,3/23/17 7:14
96,829,765,5,debit,3/13/17 15:16
68,767,272,2,credit_card,3/7/17 9:58
29,927,163,1,debit,3/2/17 21:18
98,734,133,1,cash,3/8/17 21:43
58,928,138,1,cash,3/18/17 12:59
73,917,330,2,debit,3/19/17 22:59
92,757,90,1,debit,3/13/17 23:57
79,772,362,2,cash,3/28/17 7:21
68,865,272,2,cash,3/4/17 19:40
27,730,338,2,cash,3/3/17 5:49
6,865,374,2,cash,3/8/17 4:40
95,761,336,2,credit_card,3/29/17 1:14
29,719,326,2,cash,3/22/17 21:56
60,938,531,3,debit,3/29/17 13:49
92,837,180,2,credit_card,3/18/17 20:51
99,835,585,3,debit,3/3/17 17:45
2,932,188,2,debit,3/17/17 0:45
68,967,136,1,cash,3/9/17 13:15
88,876,176,1,credit_card,3/8/17 18:10
34,953,244,2,debit,3/1/17 12:27
38,881,570,3,credit_card,3/13/17 19:44
93,861,114,1,credit_card,3/3/17 5:19
32,928,202,2,cash,3/30/17 9:30
92,890,360,4,cash,3/18/17 17:42
62,786,160,1,cash,3/12/17 23:19
26,854,176,1,debit,3/21/17 19:08
33,728,173,1,cash,3/29/17 22:04
77,732,156,1,debit,3/20/17 4:20
96,932,306,2,credit_card,3/14/17 5:28
75,892,256,2,debit,3/24/17 23:34
76,746,310,2,cash,3/6/17 15:21
100,753,222,2,debit,3/4/17 11:23
18,843,156,1,credit_card,3/21/17 0:14
6,794,187,1,cash,3/18/17 19:59
79,844,362,2,credit_card,3/7/17 20:21
6,842,374,2,credit_card,3/18/17 10:12
75,760,512,4,cash,3/18/17 8:19
99,963,780,4,credit_card,3/25/17 11:41
52,830,146,1,credit_card,3/13/17 18:19
17,775,176,1,credit_card,3/24/17 14:06
9,871,236,2,debit,3/17/17 0:50
97,827,324,2,debit,3/3/17 1:06
16,950,780,5,credit_card,3/24/17 7:32
69,871,262,2,debit,3/20/17 16:59
12,879,201,1,cash,3/14/17 12:22
73,790,330,2,credit_card,3/19/17 19:03
56,733,234,2,credit_card,3/7/17 3:50
6,986,187,1,credit_card,3/18/17 20:16
33,926,173,1,debit,3/17/17 9:08
12,727,402,2,credit_card,3/24/17 22:40
32,839,202,2,debit,3/14/17 5:00
34,803,122,1,cash,3/3/17 9:05
5,967,426,3,cash,3/3/17 7:38
55,989,171,1,credit_card,3/25/17 15:16
49,777,129,1,cash,3/30/17 21:49
51,954,374,2,credit_card,3/17/17 4:59
54,763,266,2,cash,3/29/17 5:18
4,869,128,1,credit_card,3/5/17 8:27
90,807,534,3,debit,3/27/17 23:41
6,836,561,3,debit,3/14/17 2:26
71,700,492,3,cash,3/26/17 4:43
9,772,354,3,debit,3/4/17 13:49
64,711,399,3,debit,3/11/17 20:07
77,742,156,1,cash,3/14/17 2:40
58,860,414,3,debit,3/15/17 21:12
54,945,266,2,credit_card,3/23/17 17:42
47,806,290,2,debit,3/24/17 17:51
50,803,386,2,debit,3/30/17 5:45
33,858,346,2,credit_card,3/12/17 8:03
5,890,142,1,credit_card,3/29/17 21:22
19,936,326,2,cash,3/21/17 3:53
51,918,561,3,cash,3/14/17 13:22
11,738,184,1,cash,3/6/17 10:03
38,835,190,1,debit,3/21/17 6:36
79,791,181,1,credit_card,3/22/17 17:03
70,818,346,2,debit,3/4/17 17:30
53,928,112,1,credit_card,3/12/17 19:19
29,964,489,3,debit,3/11/17 4:36
70,882,173,1,credit_card,3/17/17 2:51
69,854,131,1,debit,3/19/17 18:35
25,815,390,3,cash,3/9/17 22:00
15,952,153,1,cash,3/10/17 17:49
94,916,268,2,cash,3/29/17 22:46
25,701,390,3,cash,3/24/17 19:36
34,924,122,1,debit,3/2/17 17:32
60,992,354,2,cash,3/12/17 19:44
42,770,352,1,credit_card,3/11/17 18:14
5,704,284,2,credit_card,3/20/17 7:50
79,720,181,1,debit,3/16/17 3:29
76,836,310,2,debit,3/22/17 9:16
96,718,459,3,cash,3/10/17 20:06
24,938,420,3,credit_card,3/14/17 7:24
6,712,374,2,credit_card,3/25/17 11:59
2,865,282,3,debit,3/17/17 0:21
11,880,368,2,credit_card,3/21/17 14:56
52,848,292,2,cash,3/30/17 23:41
83,951,258,2,debit,3/4/17 5:10
23,840,156,1,cash,3/4/17 3:55
36,888,260,2,debit,3/15/17 22:33
10,877,296,2,credit_card,3/12/17 7:12
92,783,90,1,debit,3/8/17 3:49
75,893,128,1,credit_card,3/5/17 0:04
79,887,181,1,debit,3/19/17 10:55
14,779,232,2,credit_card,3/15/17 7:05
12,920,201,1,debit,3/26/17 19:24
75,832,128,1,credit_card,3/16/17 12:54
83,946,258,2,credit_card,3/26/17 6:35
36,763,260,2,credit_card,3/21/17 19:32
80,990,290,2,cash,3/18/17 22:26
40,776,322,2,cash,3/12/17 15:02
57,794,441,3,credit_card,3/22/17 0:43
68,968,272,2,debit,3/2/17 15:39
44,829,432,3,debit,3/23/17 21:27
92,853,180,2,cash,3/27/17 12:53
18,969,468,3,debit,3/26/17 0:49
91,811,640,4,credit_card,3/10/17 13:14
52,892,146,1,debit,3/17/17 5:02
35,893,656,4,cash,3/15/17 11:25
7,826,336,3,debit,3/17/17 15:13
54,735,399,3,credit_card,3/17/17 22:49
98,999,266,2,cash,3/23/17 3:32
63,743,136,1,credit_card,3/7/17 1:45
84,726,459,3,credit_card,3/3/17 12:54
72,818,160,1,debit,3/5/17 12:53
40,758,161,1,credit_card,3/5/17 2:54
1,907,158,1,credit_card,3/3/17 6:59
31,759,387,3,debit,3/24/17 2:21
80,864,145,1,debit,3/25/17 23:51
98,958,133,1,cash,3/4/17 5:55
34,956,244,2,debit,3/1/17 10:21
95,718,336,2,debit,3/14/17 18:44
31,923,258,2,debit,3/14/17 5:30
3,797,148,1,cash,3/10/17 18:58
54,804,266,2,cash,3/19/17 15:41
14,806,232,2,credit_card,3/28/17 15:04
33,790,519,3,credit_card,3/11/17 17:23
14,852,232,2,debit,3/17/17 13:35
5,886,284,2,credit_card,3/14/17 6:28
80,963,435,3,debit,3/11/17 8:31
90,933,534,3,cash,3/16/17 7:20
53,972,224,2,debit,3/14/17 20:57
58,889,414,3,debit,3/4/17 18:43
100,784,111,1,debit,3/2/17 3:36
11,974,368,2,credit_card,3/8/17 0:59
98,803,399,3,cash,3/26/17 10:40
20,917,381,3,credit_card,3/6/17 17:28
92,906,180,2,cash,3/5/17 0:22
28,901,164,1,credit_card,3/25/17 4:37
22,736,292,2,credit_card,3/18/17 10:01
37,986,426,3,credit_card,3/5/17 8:46
98,807,133,1,credit_card,3/21/17 6:33
72,713,480,3,debit,3/18/17 16:44
1,948,632,4,cash,3/10/17 13:40
35,752,328,2,credit_card,3/28/17 19:46
40,986,322,2,credit_card,3/2/17 12:05
10,794,148,1,cash,3/26/17 14:07
35,848,328,2,debit,3/3/17 20:59
57,920,147,1,credit_card,3/3/17 0:44
15,749,153,1,credit_card,3/9/17 8:30
35,828,164,1,cash,3/10/17 13:56
80,867,435,3,credit_card,3/30/17 17:30
30,858,459,3,cash,3/18/17 14:01
11,868,368,2,debit,3/8/17 4:27
68,900,272,2,debit,3/8/17 23:01
30,768,153,1,cash,3/13/17 13:42
35,891,164,1,debit,3/3/17 0:43
1,713,316,2,cash,3/12/17 22:22
23,929,468,3,credit_card,3/12/17 17:23
7,718,336,3,credit_card,3/20/17 17:25
84,862,459,3,credit_card,3/20/17 16:41
63,936,272,2,credit_card,3/1/17 20:51
69,736,131,1,cash,3/19/17 20:59
46,804,166,1,credit_card,3/28/17 17:53
43,989,362,2,debit,3/21/17 23:17
7,949,224,2,debit,3/29/17 4:46
52,786,292,2,credit_card,3/9/17 11:35
22,749,438,3,cash,3/13/17 14:53
73,894,495,3,credit_card,3/6/17 1:57
35,704,328,2,cash,3/7/17 7:57
79,771,543,3,debit,3/12/17 3:45
59,753,178,1,credit_card,3/13/17 4:30
43,951,543,3,credit_card,3/1/17 23:52
11,850,368,2,credit_card,3/18/17 0:20
37,791,142,1,debit,3/25/17 16:21
29,976,163,1,cash,3/8/17 21:31
48,954,351,3,debit,3/9/17 1:22
55,991,171,1,credit_card,3/9/17 12:51
42,904,704,2,credit_card,3/4/17 14:32
32,785,202,2,cash,3/21/17 7:11
15,927,153,1,credit_card,3/11/17 22:15
38,867,190,1,debit,3/5/17 0:39
94,934,402,3,debit,3/13/17 17:36
98,859,266,2,credit_card,3/28/17 14:01
40,879,161,1,cash,3/12/17 6:38
71,991,492,3,debit,3/11/17 15:27
64,723,266,2,cash,3/3/17 16:44
77,838,312,2,debit,3/5/17 14:02
84,873,153,1,credit_card,3/5/17 1:28
8,914,132,1,debit,3/27/17 9:49
97,886,486,3,debit,3/14/17 3:58
59,864,356,2,debit,3/18/17 20:23
46,748,332,2,debit,3/12/17 6:36
79,932,543,3,debit,3/9/17 12:04
5,759,142,1,debit,3/25/17 23:22
20,893,508,4,debit,3/28/17 1:23
99,905,195,1,debit,3/10/17 5:54
22,838,292,2,debit,3/4/17 13:55
54,762,266,2,debit,3/3/17 23:40
20,709,508,4,cash,3/27/17 13:43
98,841,266,2,credit_card,3/12/17 18:26
93,748,228,2,debit,3/7/17 1:02
39,853,134,1,debit,3/28/17 17:11
60,768,354,2,credit_card,3/19/17 12:58
43,869,362,2,debit,3/21/17 1:09
59,976,178,1,debit,3/27/17 5:28
4,770,128,1,debit,3/8/17 13:11
84,835,459,3,debit,3/15/17 23:32
72,972,160,1,credit_card,3/26/17 8:14
46,870,332,2,debit,3/18/17 12:21
98,856,399,3,credit_card,3/22/17 7:58
9,953,118,1,credit_card,3/30/17 2:14
68,938,272,2,debit,3/6/17 9:04
50,787,193,1,debit,3/21/17 10:26
52,732,292,2,debit,3/2/17 7:24
96,957,459,3,debit,3/9/17 8:40
84,789,612,4,cash,3/9/17 1:31
75,848,128,1,credit_card,3/6/17 3:24
91,841,320,2,credit_card,3/6/17 13:34
81,949,531,3,debit,3/2/17 9:41
63,749,272,2,credit_card,3/24/17 10:15
89,779,392,2,debit,3/16/17 18:22
91,920,320,2,cash,3/30/17 19:38
37,944,568,4,credit_card,3/19/17 15:49
63,932,408,3,cash,3/29/17 20:56
17,782,352,2,debit,3/19/17 22:06
75,732,256,2,credit_card,3/6/17 2:32
87,867,298,2,debit,3/25/17 11:16
33,898,519,3,credit_card,3/1/17 1:17
70,748,346,2,credit_card,3/27/17 14:30
65,983,154,1,credit_card,3/11/17 18:27
95,728,336,2,cash,3/28/17 5:10
85,966,172,1,credit_card,3/30/17 16:31
85,835,516,3,debit,3/28/17 20:12
23,952,312,2,credit_card,3/21/17 23:43
7,941,224,2,credit_card,3/10/17 17:10
87,896,149,1,debit,3/10/17 20:08
2,841,188,2,cash,3/21/17 18:38
23,892,156,1,debit,3/9/17 22:33
24,776,280,2,debit,3/11/17 2:39
27,774,169,1,credit_card,3/23/17 19:54
99,914,195,1,cash,3/9/17 5:52
63,966,272,2,credit_card,3/9/17 2:41
99,829,390,2,debit,3/6/17 4:27
55,738,171,1,debit,3/11/17 15:41
29,784,163,1,debit,3/25/17 11:58
44,998,144,1,credit_card,3/6/17 20:51
25,822,260,2,debit,3/18/17 4:53
93,724,114,1,credit_card,3/4/17 1:46
4,757,512,4,debit,3/25/17 18:08
100,889,222,2,cash,3/18/17 6:50
100,947,111,1,debit,3/21/17 11:23
88,989,352,2,credit_card,3/8/17 9:18
59,748,534,3,debit,3/18/17 14:37
95,884,504,3,debit,3/7/17 19:28
26,778,176,1,cash,3/21/17 12:42
59,937,178,1,credit_card,3/4/17 18:15
9,790,118,1,debit,3/1/17 23:27
40,989,322,2,credit_card,3/26/17 8:51
78,936,51450,2,debit,3/26/17 17:08
18,727,156,1,debit,3/19/17 11:27
4,877,256,2,debit,3/22/17 1:52
78,983,51450,2,cash,3/16/17 21:39
65,796,308,2,credit_card,3/13/17 13:47
59,974,712,4,debit,3/10/17 8:59
12,818,402,2,cash,3/4/17 7:42
19,831,489,3,credit_card,3/29/17 8:50
89,827,392,2,credit_card,3/28/17 2:44
75,959,256,2,debit,3/20/17 1:41
25,932,520,4,credit_card,3/27/17 1:40
36,855,130,1,credit_card,3/18/17 0:18
23,786,156,1,cash,3/28/17 1:24
60,764,177,1,debit,3/25/17 15:10
35,989,164,1,debit,3/20/17 21:04
13,970,480,3,cash,3/18/17 8:25
24,896,420,3,credit_card,3/14/17 9:59
19,997,163,1,debit,3/23/17 4:02
72,810,160,1,debit,3/15/17 17:49
27,842,169,1,cash,3/22/17 6:42
14,923,116,1,debit,3/21/17 10:41
78,967,51450,2,cash,3/9/17 7:23
61,798,316,2,debit,3/23/17 13:56
72,881,480,3,debit,3/7/17 11:14
94,858,670,5,cash,3/11/17 22:07
19,762,163,1,cash,3/20/17 11:57
80,946,145,1,cash,3/21/17 7:43
35,759,328,2,debit,3/8/17 22:40
59,827,178,1,credit_card,3/5/17 12:30
16,961,312,2,debit,3/15/17 11:39
42,607,704000,2000,credit_card,3/2/17 4:00
89,716,392,2,cash,3/23/17 15:25
46,761,830,5,credit_card,3/26/17 19:07
51,890,561,3,credit_card,3/22/17 1:28
8,823,396,3,cash,3/26/17 17:16
73,830,660,4,cash,3/1/17 6:42
14,844,116,1,cash,3/8/17 21:57
50,940,579,3,debit,3/26/17 5:17
5,839,142,1,debit,3/29/17 16:05
40,978,483,3,cash,3/23/17 20:01
56,804,117,1,cash,3/2/17 21:50
55,959,171,1,credit_card,3/17/17 10:38
73,996,495,3,debit,3/3/17 12:03
88,821,352,2,debit,3/13/17 5:02
10,989,444,3,credit_card,3/22/17 3:28
9,737,236,2,credit_card,3/17/17 22:40
39,968,402,3,credit_card,3/18/17 6:40
21,997,426,3,debit,3/18/17 19:15
25,895,130,1,credit_card,3/19/17 12:59
23,950,312,2,debit,3/20/17 21:20
82,967,177,1,credit_card,3/10/17 18:42
61,716,158,1,debit,3/1/17 13:28
15,984,612,4,cash,3/1/17 16:09
54,986,266,2,credit_card,3/30/17 6:07
58,724,276,2,cash,3/11/17 2:17
37,734,568,4,cash,3/21/17 20:56
31,713,258,2,credit_card,3/15/17 4:41
61,980,158,1,cash,3/6/17 22:10
66,850,644,4,debit,3/18/17 3:26
53,788,336,3,cash,3/17/17 6:59
48,790,117,1,debit,3/25/17 4:00
49,947,258,2,credit_card,3/7/17 15:33
10,769,148,1,cash,3/20/17 11:38
49,793,258,2,debit,3/26/17 14:02
79,863,181,1,cash,3/6/17 3:00
39,976,268,2,credit_card,3/9/17 6:06
34,947,122,1,cash,3/30/17 13:52
91,920,160,1,credit_card,3/6/17 14:48
50,755,579,3,debit,3/7/17 22:45
65,807,462,3,debit,3/30/17 8:25
50,762,386,2,credit_card,3/18/17 10:22
45,927,142,1,credit_card,3/2/17 10:02
59,883,356,2,credit_card,3/14/17 3:14
74,987,459,3,cash,3/30/17 16:38
45,725,710,5,debit,3/3/17 0:35
17,903,352,2,cash,3/8/17 20:01
60,705,354,2,cash,3/7/17 5:05
82,980,531,3,credit_card,3/17/17 23:48
19,705,326,2,credit_card,3/5/17 14:35
30,957,612,4,credit_card,3/30/17 19:19
93,936,114,1,cash,3/17/17 8:33
28,762,328,2,debit,3/2/17 10:57
57,727,588,4,debit,3/13/17 1:45
58,811,138,1,cash,3/13/17 17:17
83,776,129,1,debit,3/22/17 19:19
88,903,352,2,debit,3/18/17 2:37
51,980,561,3,cash,3/21/17 6:52
96,902,306,2,debit,3/11/17 21:45
17,827,176,1,credit_card,3/27/17 6:11
92,932,180,2,debit,3/10/17 16:21
87,841,149,1,credit_card,3/22/17 8:21
90,799,534,3,credit_card,3/22/17 4:13
63,879,272,2,cash,3/21/17 11:49
96,893,459,3,cash,3/20/17 15:55
13,906,160,1,cash,3/10/17 7:06
97,886,486,3,debit,3/5/17 17:49
89,958,588,3,cash,3/11/17 12:39
15,784,459,3,credit_card,3/30/17 0:36
1,725,316,2,credit_card,3/9/17 6:58
5,826,426,3,debit,3/4/17 20:27
92,967,90,1,debit,3/28/17 22:56
39,774,536,4,cash,3/27/17 9:43
20,722,381,3,credit_card,3/15/17 21:51
64,989,266,2,credit_card,3/7/17 7:45
93,772,456,4,debit,3/27/17 10:58
88,817,176,1,debit,3/16/17 5:59
36,808,130,1,debit,3/30/17 8:45
80,917,290,2,debit,3/7/17 10:31
2,747,188,2,cash,3/26/17 23:47
77,853,468,3,debit,3/9/17 9:24
30,884,306,2,cash,3/10/17 13:27
10,891,444,3,credit_card,3/20/17 7:19
65,862,308,2,cash,3/11/17 23:58
2,899,188,2,debit,3/19/17 7:51
86,712,260,2,debit,3/13/17 19:32
1,744,316,2,cash,3/20/17 19:08
46,718,332,2,credit_card,3/26/17 0:24
3,898,148,1,debit,3/29/17 19:57
69,884,393,3,credit_card,3/1/17 17:19
52,799,146,1,debit,3/29/17 11:55
70,944,173,1,credit_card,3/14/17 6:43
86,838,130,1,debit,3/9/17 10:46
49,879,129,1,cash,3/7/17 3:37
35,751,656,4,debit,3/11/17 8:59
3,806,444,3,cash,3/26/17 5:04
7,710,112,1,cash,3/3/17 7:33
27,968,338,2,cash,3/21/17 14:22
78,760,51450,2,cash,3/18/17 11:18
29,718,326,2,cash,3/8/17 18:56
90,849,178,1,debit,3/28/17 8:00
38,803,380,2,debit,3/2/17 3:35
61,859,158,1,debit,3/15/17 17:18
19,851,489,3,credit_card,3/4/17 5:11
41,897,118,1,cash,3/5/17 23:39
33,896,519,3,cash,3/22/17 20:12
3,983,148,1,debit,3/20/17 22:35
73,836,495,3,cash,3/23/17 23:50
3,768,148,1,debit,3/25/17 9:45
39,880,268,2,credit_card,3/10/17 10:27
71,974,328,2,cash,3/15/17 23:08
33,969,173,1,credit_card,3/17/17 4:07
18,866,156,1,credit_card,3/21/17 7:38
44,824,144,1,credit_card,3/7/17 15:02
50,721,579,3,debit,3/8/17 11:19
20,800,127,1,debit,3/27/17 14:04
23,904,312,2,cash,3/20/17 2:39
90,700,178,1,credit_card,3/19/17 23:26
31,856,129,1,debit,3/6/17 22:29
99,756,195,1,debit,3/20/17 14:32
83,792,516,4,debit,3/5/17 22:37
18,739,468,3,cash,3/20/17 10:10
